headline,date,doc_type,material_type,section,keywords
Turning a Page: Books With Sustainability in Mind,2019-11-28,article,News,,"['Books and Literature', 'Perfumes and Fragrances', 'Jewels and Jewelry', 'Wood and Wood Products', 'Polar Bears']"
They See You When You’re Shopping,2019-11-26,article,News,,"['E-Commerce', 'Shopping and Retail', 'Customer Relations', 'Data-Mining and Database Marketing', 'Privacy', 'Luxury Goods and Services', 'your-feed-fashion']"
You Have (Watch) Questions? We Asked the Experts,2019-11-22,article,News,,['Watches and Clocks']
"$800,000 Homes in California",2019-11-18,article,News,,['Real Estate and Housing (Residential)']
From Found to Fabulous,2019-11-28,article,News,,"['Jewels and Jewelry', 'Wood and Wood Products', 'Antiques', 'your-feed-fashion']"
Stocks Hit Record After Jobs Report,2019-11-01,article,News,,"['United States Economy', 'Interest Rates', 'Stocks and Bonds']"
"Gary Jones, U.A.W. President, to Take a Leave of Absence",2019-11-02,article,News,,"['Automobiles', 'Organized Labor']"
"For Sale: Serena Williams’s Broken Racket. Yes, That One.",2019-11-17,article,News,,"['Tennis', 'United States Open (Tennis)', 'Auctions', 'Memorabilia and Souvenirs']"
"How Spices Have Made, and Unmade, Empires",2019-11-27,article,News,,"['Spices', 'Cooking and Cookbooks', 'Turmeric (Spice)', 'Cloves', 'Nutmeg', 'Cinnamon (Spice)']"
What Does ‘Black Friday’ Even Mean Anymore?,2019-11-27,article,News,,"['Black Friday and Cyber Monday (Shopping)', 'Shopping and Retail', 'Advertising and Marketing', 'Holidays and Special Occasions', 'your-feed-fashion']"
