headline,date,doc_type,material_type,section,keywords
United MileagePlus Club Card’s Perks for Frequent Fliers,2012-03-28,article,News,,"['Business Travel', 'Frequent Flier Programs', 'Prices (Fares, Fees and Rates)']"
"At Art Fair, Jewelry Is More Than the Sum of Its Gems",2012-03-19,article,News,,"['Art', 'Jewels and Jewelry', 'Luxury Goods']"
Bagging the Bag,2012-03-22,article,Question,,"['Customs, Etiquette and Manners']"
Mansion of Historic Value for Sale,2012-03-30,article,News,,['Real Estate and Housing (Residential)']
Netting Tiny Eels and Big Profits,2012-03-30,article,News,,"['Eels', 'Fishing, Commercial', 'Poaching (Wildlife)']"
Tensions Raise Specter of Gas at $5 a Gallon,2012-03-01,article,News,,"['International Trade and World Market', 'Economic Conditions and Trends', 'United States Economy', 'Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)']"
The Message of a European Fine-Art Fair,2012-03-23,article,News,,['Art']
Use of ‘Conflict Minerals’ Gets More Scrutiny From U.S.,2012-03-20,article,News,,"['Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)', 'War Crimes, Genocide and Crimes Against Humanity', 'Metals and Minerals', 'Conflict Minerals and Resources']"
Shares Fall on Concerns of a Slowdown in China,2012-03-20,article,News,,"['Stocks and Bonds', 'Economic Conditions and Trends', 'European Sovereign Debt Crisis (2010- )']"
Do the Right Thing,2012-03-02,article,News,,"['Discrimination', 'Same-Sex Marriage, Civil Unions and Domestic Partnerships']"
