headline,date,doc_type,material_type,section,keywords
Trade Deficit and Exports Bolster Prices of Futures For Soybeans and Grains,1978-04-01,article,Archives,,[]
Gold and Silver Contracts Recover Some Losses After an Early Slide,1978-04-21,article,Archives,,[]
"Dollar Up in Europe, Japan and New York",1978-04-18,article,Archives,,['Currency']
Inflation Fears Bolster Metals’,1978-04-07,article,Archives,,[]
"Dollar Loses to Yen, Holds On in Europe; Gold Up to $174.75",1978-04-20,article,Archives,,[]
Early Stock Gains on Gold Plan Cut as Dow Closes With 6.50 Rise,1978-04-21,article,Archives,,"['STOCKS AND BONDS (GENERAL)', 'STOCK PRICES AND TRADING VOLUME', 'STOCKS AND BONDS (GENERAL)', 'STOCK PRICES AND TRADING VOLUME']"
Dollar Is Mainly a Loser in Trading Abroad,1978-04-11,article,Archives,,[]
Money,1978-04-06,article,Archives,,[]
New Swimmers Seek Olympic Gold,1978-04-10,article,Archives,,[]
Rumors of Peking Buying U.S. Grain Help Offset Prices,1978-04-15,article,Archives,,[]
