headline,date,doc_type,material_type,section,keywords
  A Congressional Ring,1985-05-28,article,News,,['TERMS NOT AVAILABLE']
I.M.F. PLANS TO RECYCLE AID FOR POOREST NATIONS,1985-05-29,article,News,,"['Credit', 'Economic Conditions and Trends', 'Third World and Developing Countries']"
  EGGS BY FABERGE,1985-05-26,article,News,,"['Jewels and Jewelry', 'Auctions', 'EASTER']"
South African Farmers Challenge Government,1985-05-04,article,News,,"['Farmers', 'Corn', 'BLACKS (NON-US)', 'PRICES', 'Grain']"
"NUMISMATICS;

THE NORWEB SALE",1985-05-12,article,News,,['Numismatics']
BRIEFS,1985-05-15,article,News,,['TERMS NOT AVAILABLE']
ASSEMBLY VITES NEW PLATES,1985-05-23,article,News,,"['Automobiles', 'Statue of Liberty', 'AUTOMOBILE REGISTRATION AND LICENSES']"
  DAKAR'S MARKETS: STRATEGIES FOR BUYERS,1985-05-19,article,News,,"['RETAIL STORES AND TRADE', 'Travel and Vacations']"
BUSINESS DIGEST,1985-05-24,article,Summary,,['TERMS NOT AVAILABLE']
"Data Bank;   May 5, 1985",1985-05-05,article,Statistics,,['TERMS NOT AVAILABLE']
