headline,date,doc_type,material_type,section,keywords
"In Kentucky, a Show Of Chinese Equine Art",2000-05-14,article,News,,['ARCHAELOGY AND ANTHROPOLOGY']
Sophisticated Blond in a Strip Mall,2000-05-07,article,Review,,"['Reviews', 'Restaurants']"
"Selling the Farm, Park Avenue Style; For a Pair of Socialites, It's Out With the Ormolu",2000-05-27,article,News,,"['Antiques', 'Auctions']"
To Set Art Off From Any Wall,2000-05-04,article,News,,[]
An Elegant Haven for Elegant Food,2000-05-03,article,Review,,"['Reviews', 'Restaurants']"
FOOTLIGHTS,2000-05-23,article,News,,"['Archaeology and Anthropology', 'SUMERIAN CIVILIZATION', 'MESOPOTAMIAN CIVILIZATION', 'Pulitzer Prizes', 'Children and Youth', 'Photography', 'Art']"
Just What Does Happen When 'Worlds' Collide?,2000-05-14,article,News,,"['Space', 'UNIVERSE', 'RELATIVISTIC HEAVY ION COLLIDER (RHIC)', 'Physics']"
Of Subtlety And Salt: A Taste Test,2000-05-21,article,News,,"['Tequila', 'Alcoholic Beverages']"
Any More Surprises In the Old Tiger Portfolio?,2000-05-28,article,News,,"['Airlines and Airplanes', 'Mergers, Acquisitions and Divestitures', 'Stocks and Bonds']"
18th-Century Rococo a Rave in Techno-Today,2000-05-25,article,News,,"['Ceramics and Pottery', 'PORCELAIN']"
