headline,date,doc_type,material_type,section,keywords
BHP looks to Chinese in pursuing Tinto deal,2007-11-18,article,News,,[]
Newmont Plans Billion-Dollar I.P.O. for Franco-Nevada,2007-11-21,article,News,,[]
Newmont Sell $1.3 Billion of Assets to Franco-Nevada,2007-11-30,article,News,,[]
Big Fees for Little Credit,2007-11-10,article,News,,"['Credit and Money Cards', 'Metals and Minerals', 'Gold']"
Vodka repackaged and marketed as a luxury good,2007-11-23,article,News,,[]
"Bad News About Bears, and Other Things That We Hold Dear",2007-11-26,article,News,,[]
House Close to Dismantling 1872 Statute on Mining,2007-11-01,article,News,,"['Royalties', 'Gold', 'Mines and Mining', 'Metals and Minerals', 'Law and Legislation']"
"Squeezed by the dollar and oil, global stocks take a beating",2007-11-21,article,News,,[]
Is China the One to Beat Now? Don’t Tell This Russian Team,2007-11-11,article,News,,['Chess']
Productivity May Explain the Market,2007-11-04,article,News,,"['Interest Rates', 'Economic Conditions and Trends', 'Stocks and Bonds']"
