headline,date,doc_type,material_type,section,keywords
Nickel Brightens the Bath. Gold Stays in Your Pocket.,2006-04-09,article,News,,"['Nickel', 'FAUCETS']"
U.S. Prices Rise More Than Expected,2006-04-20,article,News,,"['United States Economy', 'Oil (Petroleum) and Gasoline', 'Consumer Price Index', 'Prices (Fares, Fees and Rates)', 'Credit', 'Economic Conditions and Trends']"
Low-Cost Workouts for Young Minds,2006-04-02,article,News,,"['Children and Youth', 'Colleges and Universities', 'Chess', 'Scholarships and Fellowships']"
Shares Soar as Fed Minutes Hint at End to Rising Rates,2006-04-19,article,News,,"[""STANDARD & POOR'S STOCK INDEX"", 'Finances', 'Interest Rates', 'Nasdaq Composite Index', 'Stocks and Bonds', 'DOW JONES INDUSTRIAL AVERAGE', 'Government Bonds']"
BUSINESS DIGEST,2006-04-18,article,Summary,,[]
"The Papuans Say, This Land and Its Ores Are Ours",2006-04-05,article,News,,"['Mines and Mining', 'Environment', 'Metals and Minerals', 'Gold', 'Suits and Litigation']"
"The Papuans Say, This Land and Its Ores Are Ours",2006-04-05,article,News,,"['Mines and Mining', 'Metals and Minerals', 'Environment', 'Gold', 'Suits and Litigation']"
Anxieties converge to lift commodities,2006-04-11,article,News,,[]
Mining hit by lack of giant tires,2006-04-20,article,News,,[]
With This Ethical Ring I Thee Wed,2006-04-06,article,News,,"['STRIP MINING', 'Jewels and Jewelry', 'Mines and Mining', 'Hazardous and Toxic Substances', 'CYANIDE', 'Gold', 'Ethics', 'PLATINUM']"
