headline,date,doc_type,material_type,section,keywords
Uncovered Short Sales Post Drop of 1.9% on Big Board,1995-08-22,article,Statistics,,"['Short Selling', 'Stocks and Bonds']"
Home Video,1995-08-25,article,News,,"['Recordings (Video)', 'Renting and Leasing']"
Firms Seek Profits Among Co-ops' Fiscal Troubles,1995-08-06,article,News,,"['Housing', 'Cooperatives']"
Food Notes,1995-08-16,article,News,,"['Music', 'Cooking and Cookbooks']"
Swiss Raise Hopes of Tracing Lost War Deposits,1995-08-03,article,News,,"['JEWS', 'NAZI ERA', 'Banks and Banking', 'World War II (1939-45)']"
Q and A,1995-08-27,article,Question,,['NO INDEX TERMS']
Sometimes It Pays to Take a Breath,1995-08-13,article,News,,"['Mutual Funds', 'Stocks and Bonds']"
Eurocars: On the Road Again,1995-08-20,article,News,,"['Automobiles', 'International Trade and World Market', 'Prices (Fares, Fees and Rates)']"
Bandar Seri Begawan Journal; Easy Life in the Shadow of the $35 Billion Man,1995-08-03,article,News,,['United States International Relations']
Winning at the (Steam) Tables in Atlantic City,1995-08-27,article,News,,"['NYTRAVEL', 'Travel and Vacations']"
