headline,date,doc_type,material_type,section,keywords
Futures/Options;   3 Factors Influence Currencies,1985-07-15,article,News,,"['INTEREST (MONEY)', 'FUTURES TRADING', 'Currency', 'Credit']"
DISCOVERIES,1985-07-10,article,News,,['TERMS NOT AVAILABLE']
"NUMISMATICS;

ROSTER OF NEW MEDALS",1985-07-28,article,News,,"['Revolutionary War, American (1775-83)', 'Numismatics']"
"NUMISMATICS;

STATUE OF LIBERTY COINS AUTHORIZED",1985-07-07,article,News,,"['Numismatics', 'Collectors and Collections']"
"BUSINESS DIGEST: THURSDAY, AUGUST 1, 1985",1985-08-01,article,Summary,,['TERMS NOT AVAILABLE']
"BUSINESS DIGEST: SATURDAY, JULY 6, 1985",1985-07-06,article,Summary,,['TERMS NOT AVAILABLE']
FLORIDA DIVERS RETRIEVE TONS OF SILVER BARS,1985-07-22,article,News,,"['Ships and Shipping', 'TREASURE', 'Copper, Brass and Bronze', 'DIVERS AND DIVING', 'Gold', 'Silver']"
  TREASURES FROM THE BOOKS OF ISLAM,1985-07-21,article,News,,"['Antiques', 'Islam', 'SHOWS (EXHIBITS)']"
DOWN AND OUT IN THE YUKON TERRITORY,1985-07-28,article,News,,"['Mines and Mining', 'LABOR', 'GEOGRAPHIC PROFILES', 'Economic Conditions and Trends']"
  THE INFLUENCE OF CHANEL,1985-07-28,article,News,,"['Design', 'Women', 'APPAREL']"
