headline,date,doc_type,material_type,section,keywords
COMMODITIES Gold and Silver Futures React to Iran Oil Reports,1979-02-23,article,Archives,,[]
COMMODITIES Gold Futures Strengthen; Some Cite World Events,1979-02-24,article,Archives,,[]
CURRENCY MARKETS Stocks and Dollar Slump,1979-02-06,article,Archives,,['STOCKS AND BONDS (GENERAL)']
COMMODITIES Gold and Silver Off Limit On Dollar Support News,1979-02-09,article,Archives,,[]
COMMODITIES Silver Jumps Daily Limit; Soybean Prices Up 10¢,1979-02-03,article,Archives,,[]
COMMODITIES,1979-02-08,article,Archives,,[]
LABOR CHALLENGING THREAT OF SANCTION IN WAGE‐PRICE RULE,1979-02-23,article,Archives,,"['Economic Conditions and Trends', 'CONTRACTS']"
COMMODITIES Silver and Platinum Drop Limit and Gold Falls $8,1979-02-27,article,Archives,,[]
Engelhard And Phelps Net Gains,1979-02-08,article,Archives,,[]
Cash Prices,1979-02-01,article,Archives,,[]
