headline,date,doc_type,material_type,section,keywords
Is the Wedding Wow Factor Worth It?,2019-05-22,article,News,,"['Weddings and Engagements', 'Budgets and Budgeting']"
Your Gas Stove Is Bad for You and the Planet,2019-05-01,article,Op-Ed,,"['Ovens and Stoves', 'Refrigerators', 'Electric Light and Power', 'Natural Gas', 'Energy and Power', 'Global Warming', 'Air Pollution']"
The Oasis at the End of the Dusty Road,2019-05-16,article,News,,"['Deserts', 'Restoration and Renovation', 'Travel and Vacations']"
"Robert Mapplethorpe-Inspired Jewelry, Taiwan’s New Hot-Spring Hotel and More",2019-05-10,article,News,,"['Art', 'Photography', 'Travel and Vacations']"
How James Holzhauer Revolutionized ‘Jeopardy!’,2019-05-20,article,Op-Ed,,"['Television', 'Gambling']"
The House That Grief Built,2019-05-06,article,News,,"['Palaces and Castles', 'Interior Design and Furnishings']"
"Ceremony for 2, Please. And Make It Fancy!",2019-05-14,article,News,,['Weddings and Engagements']
Former Sex Cult Official Describes Its ‘Evil’ Inner Workings,2019-05-09,article,News,,"['Sex Crimes', 'Religious Cults', 'Human Trafficking', 'Prostitution']"
What’s All This About a Water Tax?,2019-05-13,article,briefing,,[]
The Week in Arts: Idris Elba Revives Luther; Margaret Thatcher Sees the Queen,2019-06-01,article,News,,"['Music', 'Movies', 'Dancing', 'Art']"
