headline,date,doc_type,material_type,section,keywords
BOOTS FOR THE WELL HEELED,1986-02-02,article,News,,['Shoes and Boots']
THE CAREFUL SHOPPER,1986-02-23,article,News,,['RETAIL STORES AND TRADE']
"OUT OF RINGS, INTO HIGH TECHNOLOGY",1986-02-23,article,News,,['PLATINUM']
"ANTIQUES;
18-TH CENTURY ITEMS AT WINDHAM BENEFIT",1986-02-09,article,News,,['Antiques']
"NUMISMATICS;
EXCELLENCE IN LEARNING",1986-02-23,article,News,,"['Numismatics', 'Education and Schools']"
GLAMOROUS MULES AND VINTAGE LACE,1986-02-12,article,News,,[]
NOTES ON FASHION,1986-02-11,article,News,,['APPAREL']
HOPE SEEN IN PRETORIA DEBT DISPUTE,1986-02-18,article,News,,"['Credit', 'Economic Conditions and Trends']"
ROMANTIC OFFERINGS FOR CUPID'S DAY,1986-02-05,article,News,,['Gifts']
"BUSINESS DIGEST SATURDAY, FEBRUARY 1, 1986",1986-02-01,article,News,,[]
