headline,date,doc_type,material_type,section,keywords
BUSINESS DIGEST,1992-07-29,article,Summary,,['NO INDEX TERMS']
Thompson Is Angered By Drug-Testing Policy,1992-07-28,article,News,,"['Olympic Games (1992)', 'DRUG USE IN SPORTS', 'Swimming', 'Tests and Testing']"
Money of the Future May Look Like Cards,1992-07-19,article,News,,"['Numismatics', 'Currency']"
"Off With Blinds, On With Fabric",1992-07-02,article,News,,"['Design', 'Windows']"
Talking: Co-op Voting; Retaining A Firm for Elections,1992-07-12,article,News,,"['Housing', 'Cooperatives']"
RESULTS PLUS,1992-07-27,article,News,,['NO INDEX TERMS']
"If It Glisters, It Might Just Be Plated",1992-07-30,article,News,,"['Metals and Minerals', 'WAXES AND POLISHES']"
"China, Using Profit Motive, Joins Olympic Powers",1992-07-30,article,News,,"['Olympic Games (1992)', 'Coaches and Managers', 'SUMMER GAMES (OLYMPICS)']"
BARCELONA: Roundup; Chesnokov Upsets Edberg and Enjoys Doing It,1992-07-30,article,News,,"['Olympic Games (1992)', 'SUMMER GAMES (OLYMPICS)', 'Tennis']"
"4th Time Around, and Still Paddling!",1992-07-12,article,Biography,,"['Olympic Games (1992)', 'Kayaks', 'SUMMER GAMES (OLYMPICS)']"
