headline,date,doc_type,material_type,section,keywords
The Careful Shopper; Shoe Bazaar Offers More Than Footwear,1981-12-06,article,News,,"['Shoes and Boots', 'PRICES', 'RETAIL STORES AND TRADE']"
Crafts,1981-12-13,article,News,,['Handicrafts']
"Antiques; SOMETHING OLD, YET NEW, FOR HIM",1981-12-06,article,News,,"['Antiques', 'Holidays and Special Occasions']"
"WEDNESDAY, DECEMBER 23, 1981; The Economy",1981-12-23,article,News,,['NO INDEX TERMS']
MILITARY SPENDING'S DAMAGE TO THE ECONOMY,1981-12-29,article,Op-Ed,,"['United States Economy', 'UNITED STATES ARMAMENT AND DEFENSE', 'GOVERNMENT SPENDING']"
"FOR BIG-STORE SHOPPERS, DIVERSITY AND BARGAINS",1981-12-03,article,News,,"['Furniture', 'RETAIL STORES AND TRADE']"
"Dow Falls 3.04, to 870.34, in Dull Trading",1981-12-29,article,News,,"['FOOD AND GROCERY TRADE', 'Oil (Petroleum) and Gasoline', 'Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
Stocks Down Slightly on Rate Worries,1981-12-22,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
MIDWEST SUPER STORE,1981-12-27,article,News,,"['FOOD AND GROCERY TRADE', 'RETAIL STORES AND TRADE', 'Travel and Vacations']"
FINDING THE REPLACEMENT FOR BROKEN CHINA SETS,1981-12-10,article,News,,['NO INDEX TERMS']
