headline,date,doc_type,material_type,section,keywords
Jewelry Is Ready for Its Close-Up,2020-07-17,article,News,,"['Jewels and Jewelry', 'Video Recordings, Downloads and Streaming', 'E-Commerce']"
A Glimpse Inside the Workshops of the World’s Finest Panama Hat Makers,2020-07-20,article,News,,"['Hats and Caps', 'Travel and Vacations', 'Photography', 'Textiles']"
"Nello, Beloved by Rich New Yorkers, Is Dinged Over Illicit Indoor Dining",2020-07-31,article,News,,"['Shutdowns (Institutional)', 'Restaurants', 'Masks', 'Alcoholic Beverages', 'Coronavirus (2019-nCoV)']"
Mookie Betts Arrives as a Capstone to the Dodgers’ Patient Project,2020-07-23,article,News,,"['Baseball', 'Free Agents (Sports)', 'World Series']"
A High Jewelry Season With a Difference,2020-07-10,article,News,,"['Jewels and Jewelry', 'Couture (Fashion)', 'your-feed-fashion']"
U.S. Supreme Court to Rule on Medieval Treasure Bought by Nazis,2020-07-10,article,News,,"['Arts and Antiquities Looting', 'Collectors and Collections', 'Museums', 'Art', 'Holocaust and the Nazi Era']"
Wagner in the Parking Lot as Opera Returns to Germany,2020-07-15,article,News,,"['Opera', 'Coronavirus (2019-nCoV)']"
Racing Toward the Cliff,2020-07-22,article,News,,"['Coronavirus (2019-nCoV)', 'United States Economy', 'Stimulus (Economic)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Vaccination and Immunization']"
11 of Our Best Weekend Reads,2020-07-24,article,News,,[]
Exclusive — Venture Fund for Women Raises More Than Expected,2020-07-09,article,News,,"['Venture Capital', 'Entrepreneurship', 'Birth Control and Family Planning', 'Education (K-12)']"
