headline,date,doc_type,material_type,section,keywords
"Tourist Draw for Sale, With Mystery the Lure",2003-09-19,article,News,,"['PSYCHIC PHENOMENA', 'OREGON VORTEX', 'Travel and Vacations', 'Physics', 'MAGNETISM AND MAGNETS']"
"In Search of Lotus Roots, And Free Parking, Too",2003-09-14,article,News,,"['Chinese-Americans', 'Korean-Americans', 'Food']"
Quirky Runway Hits Signal a Mood Swing,2003-09-09,article,News,,['APPAREL']
CALENDAR,2003-10-01,article,Schedule,,[]
A Stage Set On the High Seas,2003-09-28,article,News,,"['Ships and Shipping', 'CRYSTAL HARMONY (CRUISE SHIP)', 'Cruises']"
3 Cable Systems Will Add N.B.A. TV,2003-09-29,article,News,,"['Television', 'Basketball']"
A small world of collectibles,2003-09-13,article,,,[]
A NIGHT OUT WITH: Joe Pantoliano; A Goodfella Feels Good At a Blast With His Past,2003-09-07,article,News,,['Television']
"In Room 55, Val Kilmer Animates the Exquisite Corpse",2003-09-07,article,News,,"['MOTION PICTURES', 'Art']"
'Tanuki's Gift' and Other Children's Book Review,2003-09-21,article,Review,,"['Books and Literature', 'Children and Youth']"
