headline,date,doc_type,material_type,section,keywords
Patti Smith Ends Bowery Residency,2012-01-02,article,News,,"['New Year', 'Rock Music']"
Year of the Dragon Is the Time to Strike,2012-01-16,article,News,,"['Watches and Clocks', 'Luxury Goods']"
A Mining Law Whose Time Has Passed,2012-01-12,article,Op-Ed,,"['Mines and Mining', 'Law and Legislation', 'United States Politics and Government', 'Hazardous and Toxic Substances', 'Fish and Other Marine Life', 'Waste Materials and Disposal', 'Federal Lands', 'Environment', 'Rivers', 'Water Pollution', 'Land Use Policies']"
"John Paulson’s Terrible, Horrible, No Good, Very Bad Year",2012-01-07,article,News,,"['Banking and Financial Institutions', 'Economic Conditions and Trends', 'Hedge Funds', 'Stocks and Bonds', 'Subprime Mortgage Crisis', 'United States Economy']"
"In Paris, Nature Meets Craft in Jewelry",2012-01-30,article,News,,"['Jewels and Jewelry', 'Fashion and Apparel']"
Fingers That Turn Back the Clock,2012-01-17,article,News,,"['Watches and Clocks', 'Restoration and Renovation']"
World Markets Turn Higher,2012-01-02,article,News,,['Stocks and Bonds']
Selling Boarding Perks to the Forlorn,2012-01-16,article,News,,"['Business Travel', 'Airlines and Airplanes', 'Credit Cards', 'Frequent Flier Programs', 'Prices (Fares, Fees and Rates)']"
"With Ownership of Corporate Parent Reportedly in Flux, Lotus Cars Awaits a Resolution",2012-01-03,article,News,,['Automobiles']
"Water From Yosemite Is Still Cheap, for Now",2012-01-06,article,News,,"['Water', 'Reservoirs', 'Federal Aid (US)', 'Prices (Fares, Fees and Rates)']"
