headline,date,doc_type,material_type,section,keywords
Business Digest,1993-10-12,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1993-10-15,article,Summary,,['NO INDEX TERMS']
Dollar Falls Against Mark But Rises in Yen Trading,1993-10-09,article,News,,"['SANCTIONS (ECONOMIC)', 'International Trade and World Market', 'BUILDING']"
"Stock Are Mixed, With the Dow Off 0.28",1993-10-13,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average']"
BUSINESS DIGEST,1993-10-13,article,Summary,,['NO INDEX TERMS']
Father-Son Recital,1993-10-06,article,News,,"['Music', 'CONCERTS AND RECITALS']"
Go-Go Gradualism,1993-10-01,article,Op-Ed,,"['Economic Conditions and Trends', 'Reform and Reorganization']"
"SHOPPER'S WORLD;
In London, Nostalgia on Sale",1993-10-03,article,News,,"['Antiques', 'RETAIL STORES AND TRADE', 'NYTRAVEL', 'Travel and Vacations']"
Bangles for Bowser,1993-10-28,article,News,,"['Jewels and Jewelry', 'Dogs', 'PRICES']"
"For Louis Tiffany, Lamps Weren't the Half of It",1993-10-10,article,News,,"['Jewels and Jewelry', 'Design', 'SHOWS (EXHIBITS)']"
