headline,date,doc_type,material_type,section,keywords
"With Peace Talks Near, Cambodia Reports Victory",1990-02-24,article,News,,['Civil War and Guerrilla Warfare']
Market Place;   Hopes Run High For South Africa,1990-02-06,article,News,,"['STOCKS (CORPORATE)', 'Foreign Investments', 'Politics and Government']"
BUSINESS DIGEST,1990-02-07,article,Summary,,['NO INDEX TERMS']
Fake Coins Embarrass The Japanese,1990-02-08,article,News,,"['COUNTERFEITING', 'Gold']"
Coin Fraud Case Widens,1990-02-13,article,News,,"['Numismatics', 'COUNTERFEITING', 'Gold']"
  Costume Jewelry: A Buyer's Guide,1990-02-03,article,News,,['Jewels and Jewelry']
BUSINESS DIGEST,1990-02-01,article,Summary,,['NO INDEX TERMS']
Mutual Funds,1990-02-04,article,News,,"['Foreign Investments', 'Mutual Funds', 'Stocks and Bonds']"
Dow Plunges 29.06 on Slowest Day of Year,1990-02-13,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
Fashion;   Romantic Adornments for the Modern Ponytail,1990-02-25,article,News,,"['Hair', 'APPAREL']"
