headline,date,doc_type,material_type,section,keywords
Stocks Fall In South Africa,1987-10-21,article,News,,"['Stocks and Bonds', 'STOCK PRICES AND TRADING VOLUME']"
Gold Called Aid to New Economic Order,1987-10-13,article,News,,"['Gold', 'Economic Conditions and Trends']"
"BUSINESS DIGEST: THURSDAY, OCTOBER 1, 1987",1987-10-01,article,Summary,,[]
VOLUME IS RECORD; DOW DROPS 108.36,1987-10-17,article,News,,"['Records and Achievements', 'Currency', 'Credit', 'Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
IGNORING THE PANIC WORSENS THE PROBLEM,1987-10-25,article,News,,"['Stocks and Bonds', 'STOCK PRICES AND TRADING VOLUME']"
"More So Than Usual, Investment Signals Point Two Ways",1987-10-26,article,News,,"['Stocks and Bonds', 'STOCK PRICES AND TRADING VOLUME']"
"BUSINESS DIGEST: TUESDAY, OCTOBER 6, 1987",1987-10-06,article,Summary,,[]
"BUSINESS DIGEST: FRIDAY, OCTOBER 16, 1987",1987-10-16,article,Summary,,[]
How Commodity Indicator Works,1987-10-01,article,News,,['United States Economy']
"NUMISMATICS;
PROOF SET AUCTION FEATURES A RARE SILVER DOLLAR",1987-10-04,article,News,,"['Numismatics', 'Auctions', 'Sales']"
