headline,date,doc_type,material_type,section,keywords
"Circumstances Made Him a Hero, and Then Cost Him His Life",2006-09-05,article,News,,"['Murders and Attempted Murders', 'Children and Youth', 'Awards, Decorations and Honors', 'Fires and Firefighters']"
"Oil Slips, Giving Fed Some Room to Sit Back",2006-09-17,article,News,,"['Oil (Petroleum) and Gasoline', 'Interest Rates', 'Stocks and Bonds']"
"Circumstances Made Him a Hero, and Then Cost Him His Life",2006-09-05,article,News,,['Murders and Attempted Murders']
India's elephants pay high price for their honors - Asia - Pacific - International Herald Tribune,2006-09-24,article,News,,[]
Wall St.’s Inconspicuous Rally Continues,2006-09-16,article,News,,"['Dow Jones Stock Average', 'Economic Conditions and Trends', 'Stocks and Bonds', 'Oil (Petroleum) and Gasoline', 'United States Economy', 'Interest Rates', 'Prices (Fares, Fees and Rates)']"
Wall St.’s Inconspicuous Rally Continues,2006-09-16,article,News,,"[""Standard & Poor's 500-Stock Index"", 'Oil (Petroleum) and Gasoline', 'Finances', 'Interest Rates', 'Prices (Fares, Fees and Rates)', 'Economic Conditions and Trends', 'Government Bonds', 'Dow Jones Stock Average', 'United States Economy', 'Credit', 'Nasdaq Composite Index', 'Stocks and Bonds', 'DOW JONES INDUSTRIAL AVERAGE']"
Iamgold Strikes $1.2 Billion Deal for Cambior,2006-09-14,article,News,,[]
N.Y.S.E. Fines Citigroup for Rogue Metals Trader,2006-09-14,article,News,,[]
Barrick Extends Its Bid for NovaGold Again,2006-09-27,article,News,,[]
Drama sweeps across the world of comedy - Technology - International Herald Tribune,2006-09-25,article,News,,[]
